,action_code,action_code_full,amendment_indicator,amendment_number,back_reference_schedule_name,back_reference_transaction_id,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_district,candidate_office_state,candidate_party,candidate_prefix,candidate_suffix,category_code,category_code_full,committee_id,conduit_committee_city,conduit_committee_id,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,disbursement_dt,dissemination_date,election_type,election_type_full,expenditure_amount,expenditure_date,expenditure_description,file_number,filer_first_name,filer_last_name,filer_middle_name,filer_prefix,filer_suffix,filing_date,filing_form,form_line_number,image_number,independent_sign_date,independent_sign_name,is_notice,line_number,link_id,memo_code,memo_code_full,memo_text,memoed_subtotal,most_recent,notary_commission_expiration_date,notary_sign_date,notary_sign_name,office_total_ytd,original_sub_id,payee_city,payee_first_name,payee_last_name,payee_middle_name,payee_name,payee_prefix,payee_state,payee_street_1,payee_street_2,payee_suffix,payee_zip,pdf_url,previous_file_number,report_type,report_year,schedule_type,schedule_type_full,sub_id,support_oppose_indicator,transaction_id,committee
0,A,ADD,N,0.0,,,PAUL,H0MI08141,JUNGE,,"JUNGE, PAUL",H,08,MI,REP,,,,,C00523241,,,,,,,,2024-10-25,2024-10-31,G2024,,11667.0,2024-10-25,DIGITAL ADVERTISING,1846523,PAUL,KILGORE,,,,2024-11-01,F24,F24-24,202411019719916498,2024-11-01,"KILGORE, PAUL",True,24,4110120241041715147,,,,False,True,,,,11667.0,,VEGA ALTA,,,,"VALENTINE GROUP, LLC",,PR,86 LAKESIDE VILLAS,# E2,,006928724,https://docquery.fec.gov/cgi-bin/fecimg/?202411019719916498,1846523,24,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4110120241042312097,S,E66DC21F44D684D9183C,SPECIAL OPERATIONS FOR AMERICA
1,A,ADD,N,0.0,,,PAUL,H0MI08141,JUNGE,,"JUNGE, PAUL",H,8,MI,REP,,,,,C00825885,,C00825885,,,,,,2024-10-23,2024-10-23,G2024,,18980.0,2024-10-23 00:00:00,DIGITAL ADVERTISING (ALSO OPPOSES RIVET),1836445,CHRIS,MARSTON,,,,2024-10-23,F24,F24-24,202410239710122172,2024-10-23,"MARSTON, CHRIS",True,24,4102320242076190062,,,,False,True,,,,18980.0,,SUFFOLK,,,,HILTON MULTIMEDIA,,VA,309 FORD DR,,,23435,https://docquery.fec.gov/cgi-bin/fecimg/?202410239710122172,1836445,24,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4102320242076736497,S,SE.4434,PATRIOTS FOR A BRIGHTER AMERICA
2,A,ADD,N,0.0,,,PAUL,H0MI08141,JUNGE,,"JUNGE, PAUL",H,8,MI,REP,,,,,C00053553,,,,,,,,2024-10-14,2024-10-14,G2024,,4151.47,2024-10-14 00:00:00,PRINTING / POSTAGE,1830079,ZAC,FUNDERBURK,,,,2024-10-16,F24,F24-24,202410169698568976,2024-10-16,"FUNDERBURK, ZAC",True,24,4101620242069882064,,,,False,True,,,,7480.12,,HAGERSTOWN,,,,HBP MARKETING LLC,,MD,952 FREDERICK STREET,,,21740,https://docquery.fec.gov/cgi-bin/fecimg/?202410169698568976,1830079,48,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4101620242069918375,S,SE.26,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND
3,A,ADD,N,0.0,,,PAUL,H0MI08141,JUNGE,,"JUNGE, PAUL",H,8,MI,REP,,,,,C00053553,,,,,,,,2024-10-14,2024-10-14,G2024,,204.08,2024-10-14 00:00:00,PRINTING / POSTAGE,1830079,ZAC,FUNDERBURK,,,,2024-10-16,F24,F24-24,202410169698568976,2024-10-16,"FUNDERBURK, ZAC",True,24,4101620242069882064,,,,False,True,,,,3328.65,,SPRINGFIELD,,,,C2 IMAGING LLC,,VA,8000 GRAINGER COURT,,,22153,https://docquery.fec.gov/cgi-bin/fecimg/?202410169698568976,1830079,48,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4101620242069918374,S,SE.25,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND
4,A,ADD,N,0.0,,,PAUL,H0MI08141,JUNGE,,"JUNGE, PAUL",H,8,MI,REP,,,,,C00053553,,,,,,,,2024-10-02,2024-10-09,G2024,,1669.2,2024-10-02 00:00:00,SMS MESSAGING,1823331,ZAC,FUNDERBURK,,,,2024-10-11,F24,F24-24,202410119684892964,2024-10-11,"FUNDERBURK, ZAC",True,24,4101220242069502000,,,,False,True,,,,3124.57,,CHICAGO,,,,I360 LLC,,IL,29374 NETWORK PLACE,,,60673,https://docquery.fec.gov/cgi-bin/fecimg/?202410119684892964,1823331,48,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4101220242069514005,S,SE.6,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND
5,A,ADD,N,0.0,,,PAUL,H0MI08141,JUNGE,,"JUNGE, PAUL",H,8,MI,REP,,,,,C00053553,,,,,,,,2024-10-02,2024-10-09,G2024,,12.5,2024-10-02 00:00:00,CREATIVE DESIGN SERVICES,1823331,ZAC,FUNDERBURK,,,,2024-10-11,F24,F24-24,202410119684892964,2024-10-11,"FUNDERBURK, ZAC",True,24,4101220242069502000,,,,False,True,,,,1455.37,,MADISON,,,,DERIVE TECHNOLOGIES LLC,,WI,PO BOX 1651,,,53701,https://docquery.fec.gov/cgi-bin/fecimg/?202410119684892964,1823331,48,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4101220242069514004,S,SE.5,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND
6,A,ADD,N,0.0,,,PAUL,H0MI08141,JUNGE,,"JUNGE, PAUL",H,8,MI,REP,,,,,C00053553,,,,,,,,2024-10-01,2024-10-01,G2024,,1374.85,2024-10-01 00:00:00,PRINTING / POSTAGE,1820166,ZAC,FUNDERBURK,,,,2024-10-03,F24,F24-24,202410039684790088,2024-10-03,"FUNDERBURK, ZAC",True,24,4100420242069091005,,,,False,True,,,,1442.87,,HAGERSTOWN,,,,HBP MARKETING LLC,,MD,952 FREDERICK STREET,,,21740,https://docquery.fec.gov/cgi-bin/fecimg/?202410039684790088,1820166,48,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4100420242069113380,S,SE.21,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND
7,A,ADD,N,0.0,,,PAUL,H0MI08141,JUNGE,,"JUNGE, PAUL",H,8,MI,REP,,,,,C00053553,,,,,,,,2024-10-01,2024-10-01,G2024,,68.02,2024-10-01 00:00:00,PRINTING / POSTAGE,1820166,ZAC,FUNDERBURK,,,,2024-10-03,F24,F24-24,202410039684790088,2024-10-03,"FUNDERBURK, ZAC",True,24,4100420242069091005,,,,False,True,,,,68.02,,SPRINGFIELD,,,,C2 IMAGING LLC,,VA,8000 GRAINGER COURT,,,22153,https://docquery.fec.gov/cgi-bin/fecimg/?202410039684790088,1820166,48,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4100420242069113379,S,SE.20,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND
8,A,ADD,N,0.0,,,PAUL,H0MI08141,JUNGE,,"JUNGE, PAUL",H,8,MI,REP,,,4.0,Advertising Expenses ,C00740514,,C00740514,,,,,,,,P2024,,99.93,2024-06-23 00:00:00,DIGITAL POLITICAL AD,1792995,GLENN,MOORE,C,,SR.,2024-07-01,F3X,F3X-24,202407019652550780,2024-07-01,"MOORE, GLENN C SR.",False,24,4070120241963104113,,,,False,True,,,,405.69,,MOUNTAIN VIEW,,,,GOOGLEADS,,CA,1600 AMPHITHEATER PARKWAY,,,94043,https://docquery.fec.gov/cgi-bin/fecimg/?202407019652550780,1792995,Q2,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4070220241963498022,S,SE.4604,CONCERNED CITIZEN
9,A,ADD,N,0.0,,,PAUL,H0MI08141,JUNGE,,"JUNGE, PAUL",H,8,MI,REP,,,4.0,Advertising Expenses ,C00740514,,C00740514,,,,,,,,P2024,,169.74,2024-05-23 00:00:00,DIGITAL POLITICAL AD,1792995,GLENN,MOORE,C,,SR.,2024-07-01,F3X,F3X-24,202407019652550777,2024-07-01,"MOORE, GLENN C SR.",False,24,4070120241963104113,,,,False,True,,,,305.76,,MOUNTAIN VIEW,,,,GOOGLEADS,,CA,1600 AMPHITHEATER PARKWAY,,,94043,https://docquery.fec.gov/cgi-bin/fecimg/?202407019652550777,1792995,Q2,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4070220241963498016,S,SE.4594,CONCERNED CITIZEN
