,action_code,action_code_full,amendment_indicator,amendment_number,back_reference_schedule_name,back_reference_transaction_id,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_district,candidate_office_state,candidate_party,candidate_prefix,candidate_suffix,category_code,category_code_full,committee_id,conduit_committee_city,conduit_committee_id,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,dissemination_date,election_type,election_type_full,expenditure_amount,expenditure_date,expenditure_description,file_number,filer_first_name,filer_last_name,filer_middle_name,filer_prefix,filer_suffix,filing_date,filing_form,form_line_number,image_number,independent_sign_date,independent_sign_name,is_notice,line_number,link_id,memo_code,memo_code_full,memo_text,memoed_subtotal,most_recent,notary_commission_expiration_date,notary_sign_date,notary_sign_name,office_total_ytd,original_sub_id,payee_city,payee_first_name,payee_last_name,payee_middle_name,payee_name,payee_prefix,payee_state,payee_street_1,payee_street_2,payee_suffix,payee_zip,pdf_url,previous_file_number,report_type,report_year,schedule_type,schedule_type_full,sub_id,support_oppose_indicator,transaction_id,committee
0,A,ADD,N,0.0,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,004,Advertising Expenses ,C00504530,,,,,,,,2024-01-23,P2024,,75000.0,2024-01-23,MEDIA PLACEMENT,1754041,CALEB,CROSBY,,,,2024-02-01,F3X,F3X-24,202402019619659216,2024-01-25,"CROSBY, CALEB",False,24,4020220241818896005,,,,False,True,,,,110000.0,,ARLINGTON,,,,TARGETED VICTORY LLC,,VA,2311 WILSON BLVD,SUITE 200,,22201,https://docquery.fec.gov/cgi-bin/fecimg/?202402019619659216,1754041,12S,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4022620241826698211,S,SE24.101,CONGRESSIONAL LEADERSHIP FUND
1,A,ADD,N,0.0,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00504530,,,,,,,,2024-01-23,P2024,,75000.0,2024-01-23 00:00:00,MEDIA PLACEMENT,1754041,CALEB,CROSBY,,,,2024-02-01,F3X,F3X-24,202402019619659216,2024-01-25,"CROSBY, CALEB",False,24,4020220241818896005,,,,False,True,,,,110000.0,,ARLINGTON,,,,TARGETED VICTORY LLC,,VA,2311 WILSON BLVD,SUITE 200,,22201,https://docquery.fec.gov/cgi-bin/fecimg/?202402019619659216,1754041,12S,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4022620241826698211,S,SE24.101,CONGRESSIONAL LEADERSHIP FUND
2,A,ADD,N,0.0,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00504530,,,,,,,,2024-01-09,P2024,,25000.0,2024-01-09 00:00:00,MEDIA PLACEMENT,1754041,CALEB,CROSBY,,,,2024-02-01,F3X,F3X-24,202402019619659207,2024-01-11,"CROSBY, CALEB",False,24,4020220241818896005,,,,False,True,,,,110000.0,,ARLINGTON,,,,TARGETED VICTORY LLC,,VA,2311 WILSON BLVD,SUITE 200,,22201,https://docquery.fec.gov/cgi-bin/fecimg/?202402019619659207,1754041,12S,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4022620241826698194,S,SE24.68,CONGRESSIONAL LEADERSHIP FUND
3,A,ADD,N,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00754218,,C00754218,,,,,,2022-12-03,G2022,,4.5,2022-12-03 00:00:00,MASS EMAIL,1677431,JOE,POJMAN,,,,2023-01-19,F3X,F3X-24,202301199574858795,2023-01-19,"POJMAN, JOE",False,24,4012020231717716004,,,,False,True,,,,28.42,,AUSTIN,,,,"TEXAS ALLIANCE FOR LIFE, INC",,TX,8000 CENTRE PARK DR,STE 380,,78754,https://docquery.fec.gov/cgi-bin/fecimg/?202301199574858795,1677431,YE,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4012020231718320089,S,SE.5056,TEXAS ALLIANCE FOR LIFE FED PAC
5,N,NO CHANGE,A,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-11-01,G2022,,918.23,2022-11-08 00:00:00,CANVASSING,1685768,ROBERT,JENTGENS,,,TREASURER,2023-01-31,F3X,F3X-24,202301319575626942,2022-11-02,"JENTGENS, ROBERT TREASURER",False,24,4013120231721277912,,,,False,True,,,,520415.73,,ARLINGTON,,,,AMERICANS FOR PROSPERITY,,VA,1310 N. COURTHOUSE RD.,STE. 700,,22201,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575626942,1671431,30G,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4020820231723598285,S,SE24.17150,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
6,N,NO CHANGE,A,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-11-06,G2022,,15000.0,2022-11-07 00:00:00,CANVASSING,1685768,ROBERT,JENTGENS,,,TREASURER,2023-01-31,F3X,F3X-24,202301319575627084,2022-11-07,"JENTGENS, ROBERT TREASURER",False,24,4013120231721277912,,,,False,True,,,,520415.73,,DENVER,,,,TALENTWAVE,,CO,4601 DTC BLVD.,STE.650,,80237,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575627084,1671431,30G,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4020820231723598569,S,SE24.18230,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
7,A,ADD,N,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00687103,,,,,,,,2022-11-06,G2022,,15000.0,2022-11-06 00:00:00,CANVASSING,1660871,ROBERT,JENTGENS,,,TREASURER,2022-11-07,F24,F24-24,202211079546727339,2022-11-07,"JENTGENS, ROBERT TREASURER",True,24,4110820221616082013,,,,False,True,,,,520415.73,,DENVER,,,,TALENTWAVE INC.,,CO,4601 DTC BLVD.,STE 650,,80237,https://docquery.fec.gov/cgi-bin/fecimg/?202211079546727339,1660871,24,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4110820221616634148,S,SE24.18230,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION"
8,A,ADD,N,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,34,TX,REP,,,,,C00625566,,C00625566,,,,,,2022-11-05,G2022,,16666.67,2022-11-04 00:00:00,DEVELOPMENT AND TRANSMISSION OF TEXT MESSAGE,1659677,ELSY,KORAH,,,,2022-11-04,F24,F24-24,202211049546711472,2022-11-04,"KORAH, ELSY",True,24,4110520221605737022,,,,False,True,,,,49999.99,,BETHESDA,,,,EVOLVING STRATEGIES,,MD,6015 OVERLEA RD,,,20816,https://docquery.fec.gov/cgi-bin/fecimg/?202211049546711472,1659677,24,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4110520221605776058,S,SE.11937,VALOR AMERICA
9,C,CHANGE,A,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,4.0,Advertising Expenses ,C00494021,,C00494021,,,,,,2022-10-27,G2022,,53087.4,2022-11-04 00:00:00,DIGITAL ADVERTISING (ACTUAL COST OF ESTIMATED IE ON 24-HR REPORT FILED 10/28),1702041,BRIAN,BURCH,,,,2023-04-21,F3X,F3X-24,202304219581256383,2023-04-21,"BURCH, BRIAN",False,24,4042120231743525106,,,,False,True,,,,53087.4,,BEL AIR,,,,MENTZER MEDIA,,MD,2210 GREY FOX COURT,,,21015,https://docquery.fec.gov/cgi-bin/fecimg/?202304219581256383,1696778,30G,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4042220231743655010,S,SE.28294,CATHOLICVOTE.ORG CANDIDATE FUND
10,N,NO CHANGE,A,,,,MONICA,H0TX15124,DE LA CRUZ,,"DE LA CRUZ, MONICA",H,15,TX,REP,,,,,C00625566,,C00625566,,,,,,2022-11-05,G2022,,16666.67,2022-11-04 00:00:00,DEVELOPMENT AND TRANSMISSION OF TEXT MESSAGE,1695157,ELSY,KORAH,,,,2023-03-27,F3X,F3X-24,202303279579681707,2023-03-27,"KORAH, ELSY",False,24,4032720231738221016,,,,False,True,,,,16666.67,,BETHESDA,,,,EVOLVING STRATEGIES,,MD,6015 OVERLEA RD,,,20816,https://docquery.fec.gov/cgi-bin/fecimg/?202303279579681707,1695152,30G,2022,SE,ITEMIZED INDEPENDENT EXPENDITURES,4032820231738255098,S,SE.11933,VALOR AMERICA
