,action_code,action_code_full,amendment_indicator,amendment_number,back_reference_schedule_name,back_reference_transaction_id,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_district,candidate_office_state,candidate_party,candidate_prefix,candidate_suffix,category_code,category_code_full,committee_id,conduit_committee_city,conduit_committee_id,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,disbursement_dt,dissemination_date,election_type,election_type_full,expenditure_amount,expenditure_date,expenditure_description,file_number,filer_first_name,filer_last_name,filer_middle_name,filer_prefix,filer_suffix,filing_date,filing_form,form_line_number,image_number,independent_sign_date,independent_sign_name,is_notice,line_number,link_id,memo_code,memo_code_full,memo_text,memoed_subtotal,most_recent,notary_commission_expiration_date,notary_sign_date,notary_sign_name,office_total_ytd,original_sub_id,payee_city,payee_first_name,payee_last_name,payee_middle_name,payee_name,payee_prefix,payee_state,payee_street_1,payee_street_2,payee_suffix,payee_zip,pdf_url,previous_file_number,report_type,report_year,schedule_type,schedule_type_full,sub_id,support_oppose_indicator,transaction_id,committee
0,A,ADD,N,0.0,,,SUSIE,H6NV04020,LEE,,"LEE, SUSIE",H,03,NV,DEM,,,,,C00620971,,,,,,,,,2024-10-23,G2024,,1296.0,2024-10-23,FIELD CANVASSING (ESTIMATE),1841029,BEN,UNGER,,,,2024-10-24,F24,F24-24,202410249710747142,2024-10-24,"UNGER, BEN",True,24,4102420242081247142,,,,False,True,,,,24522.43,,WASHINGTON,,,,FOR OUR FUTURE ACTION FUND,,DC,PO BOX 34390,,,200434390,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710747142,1841029,24,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4102420242081481266,S,500722569,FOR OUR FUTURE
1,A,ADD,N,0.0,,,SUSIE,H6NV04020,LEE,,"LEE, SUSIE",H,03,NV,DEM,,,,,C00620971,,,,,,,,,2024-10-23,G2024,,670.34,2024-10-23,CANVASSING LITERATURE (ESTIMATE),1841029,BEN,UNGER,,,,2024-10-24,F24,F24-24,202410249710747142,2024-10-24,"UNGER, BEN",True,24,4102420242081247142,,,,False,True,,,,24522.43,,CHICAGO,,,,PENDULUM CREATIVE GROUP LLC,,IL,4200 W DIVERSEY AVE,STE 23B,,606392047,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710747142,1841029,24,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4102420242081481265,S,500722577,FOR OUR FUTURE
2,A,ADD,N,0.0,,,SUSIE,H6NV04020,LEE,,"LEE, SUSIE",H,03,NV,DEM,,,,,C00620971,,,,,,,,,2024-10-23,G2024,,13798.8,2024-10-23,FIELD CANVASSING (ESTIMATE),1841029,BEN,UNGER,,,,2024-10-24,F24,F24-24,202410249710747141,2024-10-24,"UNGER, BEN",True,24,4102420242081247142,,,,False,True,,,,24522.43,,ITHACA,,,,THE OUTREACH TEAM,,NY,407 COLLEGE AVE,STE 349,,148506701,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710747141,1841029,24,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4102420242081481264,S,500722585,FOR OUR FUTURE
3,A,ADD,N,0.0,,,SUSIE,H6NV04020,LEE,,"LEE, SUSIE",H,03,NV,DEM,,,,,C90011156,,,,,,,,2024-10-23,,G2024,GENERAL,2500.0,2024-10-23,DIGITAL ADVERTISING,1841436,,,,,,2024-10-24,F5,,202410249713190644,,,True,,4102420242081248029,,,,False,True,,,,2878.52,,MENLO PARK,,,,META,,CA,1 HACKER WAY,,,940251456,https://docquery.fec.gov/cgi-bin/fecimg/?202410249713190644,1841436,24,2024,SE-F57,FOR EACH INDEPENDENT EXPENDITURE MADE,4102420242081251554,S,501213262,WORKING AMERICA
4,A,ADD,N,0.0,,,SUSIE,H6NV04020,LEE,,"LEE, SUSIE",H,03,NV,DEM,,,,,C00620971,,,,,,,,,2024-10-20,G2024,,9.52,2024-10-20,EMAIL (ESTIMATE),1841029,BEN,UNGER,,,,2024-10-24,F24,F24-24,202410249710747141,2024-10-24,"UNGER, BEN",True,24,4102420242081247142,,,,False,True,,,,24522.43,,WASHINGTON,,,,FOR OUR FUTURE ACTION FUND,,DC,PO BOX 34390,,,200434390,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710747141,1841029,24,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4102420242081481263,S,500719454,FOR OUR FUTURE
5,A,ADD,N,0.0,,,SUSIE,H6NV04020,LEE,,"LEE, SUSIE",H,3,NV,DEM,,,,,C00620971,,,,,,,,,2024-10-19,G2024,,1296.0,2024-10-19 00:00:00,FIELD CANVASSING (ESTIMATE),1833789,BEN,UNGER,,,,2024-10-20,F24,F24-24,202410209709148148,2024-10-20,"UNGER, BEN",True,24.0,4102020242075582143,,,,False,True,,,,10095.54,,WASHINGTON,,,,FOR OUR FUTURE ACTION FUND,,DC,PO BOX 34390,,,200434390.0,https://docquery.fec.gov/cgi-bin/fecimg/?202410209709148148,1833789,24,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4102020242075599047,S,500718086,FOR OUR FUTURE
6,A,ADD,N,0.0,,,SUSIE,H6NV04020,LEE,,"LEE, SUSIE",H,3,NV,DEM,,,,,C00620971,,,,,,,,,2024-10-19,G2024,,2.1,2024-10-19 00:00:00,EMAIL (ESTIMATE),1833789,BEN,UNGER,,,,2024-10-20,F24,F24-24,202410209709148146,2024-10-20,"UNGER, BEN",True,24.0,4102020242075582143,,,,False,True,,,,10095.54,,WASHINGTON,,,,FOR OUR FUTURE ACTION FUND,,DC,PO BOX 34390,,,200434390.0,https://docquery.fec.gov/cgi-bin/fecimg/?202410209709148146,1833789,24,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4102020242075599044,S,500718093,FOR OUR FUTURE
7,A,ADD,N,0.0,,,SUSIE,H6NV04020,LEE,,"LEE, SUSIE",H,3,NV,DEM,,,004,Advertising Expenses ,C00568444,,C00568444,,,,,,2024-10-11,2024-10-15,G2024,,75000.0,2024-10-11 00:00:00,DIGITAL AND STREAMING SERVICES ADVERTISING,1830706,JEFFERIES,MURRAY,,,,2024-10-17,F24,F24-24,202410179698596796,2024-10-17,"MURRAY, JEFFERIES",True,24.0,4101720242069931075,,,,False,True,,,,75000.0,,ARLINGTON,,,,AD BEAT STRATEGIES,,VA,4601 FAIRFAX DR STE 1200,,,22203.0,https://docquery.fec.gov/cgi-bin/fecimg/?202410179698596796,1830706,48,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4101720242070335703,S,SE.4895,CENTER FORWARD COMMITTEE
8,A,ADD,N,0.0,,,SUSIE,H6NV04020,LEE,,"LEE, SUSIE",H,3,NV,DEM,,,004,Advertising Expenses ,C00624817,,C00624817,,,,,,2024-09-25,2024-10-01,G2024,,125000.0,2024-09-25 00:00:00,DIGITAL ADS/ PRODUCTION /MEDIA BUY,1820069,MICHAEL,ANTROBUS,,MR.,,2024-10-03,F24,F24-24,202410039684788596,2024-10-03,"ANTROBUS, MICHAEL MR.",True,24.0,4100320242069028034,,,,False,True,,,,125000.0,,WASHINGTON,,,,HAMBURGER GROUP CREATIVE,,DC,5614 CONNECTICUT AVE NW,#219,,20015.0,https://docquery.fec.gov/cgi-bin/fecimg/?202410039684788596,1820069,48,2024,SE,ITEMIZED INDEPENDENT EXPENDITURES,4100320242069061265,S,SE.6896,EARN INTERNATIONAL UNION OF OPERATING ENGINEERS
9,C,CHANGE,A,1.0,,,SUSIE,H6NV04020,LEE,,"LEE, SUSIE",H,3,NV,DEM,,,004,Advertising Expenses ,C00523621,,,,,,,,,2022-10-27,G2022,,2064.0,2023-08-31 00:00:00,PAYMENT FOR ADDITIONAL COST OF NEWSPAPER ADS FROM 10/28/22 24-HR NOTICE & 2022 POST-GEN REPORT,1797077,ROCIO,SAENZ,,,,2024-07-12,F3X,F3X-24,202407129653176493,2024-07-12,"SAENZ, ROCIO",False,24.0,4071220241972791566,,,,False,True,,,,2700.0,,GLENDALE,,,,ASIAN JOURNAL PUBLICATIONS,,CA,1201 S BRAND BLVD,,,912042614.0,https://docquery.fec.gov/cgi-bin/fecimg/?202407129653176493,1748314,YE,2023,SE,ITEMIZED INDEPENDENT EXPENDITURES,4071920241978247507,S,500018986,UNITED WE CAN
